0.35,0.17,7.76e-09
0.35,0.18,1.13e-08
0.35,0.19,1.63e-08
0.35,0.2,2.37e-08
0.35,0.21,3.42e-08
0.35,0.22,4.94e-08
0.35,0.23,7.11e-08
0.35,0.24,1.02e-07
0.35,0.25,1.45e-07
0.35,0.26,2.05e-07
0.35,0.27,2.87e-07
0.35,0.28,3.98e-07
0.35,0.29,5.43e-07
0.35,0.3,7.29e-07
0.35,0.31,9.63e-07
0.35,0.32,1.25e-06
0.35,0.33,1.59e-06
0.35,0.34,1.99e-06
0.35,0.35,2.45e-06
0.35,0.36,2.96e-06
0.35,0.37,3.53e-06
0.35,0.38,4.15e-06
0.35,0.39,4.82e-06
0.35,0.4,5.54e-06
0.35,0.41,6.29e-06
0.35,0.42,7.09e-06
0.35,0.43,7.92e-06
0.35,0.44,8.77e-06
0.35,0.45,9.66e-06
0.35,0.46,1.06e-05
0.35,0.47,1.15e-05
0.35,0.48,1.24e-05
0.35,0.49,1.34e-05
0.35,0.5,1.44e-05
0.35,0.51,1.53e-05
0.35,0.52,1.63e-05
0.35,0.53,1.73e-05
0.35,0.54,1.83e-05
0.35,0.55,1.93e-05
0.35,0.56,2.03e-05
0.35,0.57,2.13e-05
0.35,0.58,2.22e-05
0.35,0.59,2.32e-05
0.35,0.6,2.42e-05
0.35,0.61,2.51e-05
0.35,0.62,2.6e-05
0.35,0.63,2.7e-05
0.35,0.64,2.79e-05
0.35,0.65,2.87e-05
0.35,0.66,2.96e-05
0.35,0.67,3.05e-05
0.35,0.68,3.13e-05
0.35,0.69,3.21e-05
0.35,0.7,3.29e-05
0.35,0.71,3.37e-05
0.35,0.72,3.44e-05
0.35,0.73,3.52e-05
0.35,0.74,3.59e-05
0.35,0.75,3.66e-05
0.35,0.76,3.72e-05
0.35,0.77,3.79e-05
0.35,0.78,3.85e-05
0.35,0.79,3.91e-05
0.35,0.8,3.97e-05
0.45,0.0,1.62e-11
0.45,0.01,2.28e-11
0.45,0.02,3.24e-11
0.45,0.03,4.64e-11
0.45,0.04,6.68e-11
0.45,0.05,9.63e-11
0.45,0.06,1.39e-10
0.45,0.07,2.02e-10
0.45,0.08,2.92e-10
0.45,0.09,4.24e-10
0.45,0.1,6.15e-10
0.45,0.11,8.93e-10
0.45,0.12,1.3e-09
0.45,0.13,1.88e-09
0.45,0.14,2.73e-09
0.45,0.15,3.96e-09
0.45,0.16,5.75e-09
0.45,0.17,8.34e-09
0.45,0.18,1.21e-08
0.45,0.19,1.75e-08
0.45,0.2,2.53e-08
0.45,0.21,3.66e-08
0.45,0.22,5.27e-08
0.45,0.23,7.58e-08
0.45,0.24,1.08e-07
0.45,0.25,1.54e-07
0.45,0.26,2.18e-07
0.45,0.27,3.04e-07
0.45,0.28,4.2e-07
0.45,0.29,5.72e-07
0.45,0.3,7.67e-07
0.45,0.31,1.01e-06
0.45,0.32,1.31e-06
0.45,0.33,1.66e-06
0.45,0.34,2.07e-06
0.45,0.35,2.54e-06
0.45,0.36,3.07e-06
0.45,0.37,3.66e-06
0.45,0.38,4.3e-06
0.45,0.39,4.99e-06
0.45,0.4,5.72e-06
0.45,0.41,6.5e-06
0.45,0.42,7.32e-06
0.45,0.43,8.17e-06
0.45,0.44,9.06e-06
0.45,0.45,9.97e-06
0.45,0.46,1.09e-05
0.45,0.47,1.19e-05
0.45,0.48,1.28e-05
0.45,0.49,1.38e-05
0.45,0.5,1.48e-05
0.45,0.51,1.59e-05
0.45,0.52,1.69e-05
0.45,0.53,1.79e-05
0.45,0.54,1.9e-05
0.45,0.55,2e-05
0.45,0.56,2.1e-05
0.45,0.57,2.21e-05
0.45,0.58,2.31e-05
0.45,0.59,2.42e-05
0.45,0.6,2.52e-05
